ax,ay,az,vx,vy,vz,roll,pitch,yaw,height_sonar,height_baro,battery,mission_time,target_altitude
0.12,0.16,-9.870000000000001,0.0,0.0,0.0,0,0,127,0.52,-1.3153000000000001,60,1760035762.871391,0.005
-0.1,0.14,-9.99,0.0,0.0,0.0,0,0,127,0.52,-1.3146000000000002,60,1760035762.971394,0.005
-0.02,-0.06,-10.09,0.0,0.0,0.0,0,0,127,0.52,-1.3156,60,1760035763.071401,0.005
0.24,0.04,-9.93,0.0,0.0,0.0,0,0,127,0.52,-1.3159,60,1760035763.1714072,0.005
-0.22,0.11,-10.08,0.0,0.0,0.0,0,0,127,0.52,-1.3163999999999998,60,1760035763.271411,0.005
0.04,0.0,-9.77,0.0,0.0,0.0,0,0,127,0.51,-1.3156999999999999,60,1760035763.3714151,0.005
-0.05,0.11,-10.05,0.0,0.0,0.0,0,0,127,0.51,-1.3163999999999998,60,1760035763.4714181,0.005
0.0,-0.04,-10.15,0.0,0.0,0.0,0,0,127,0.51,-1.3154,60,1760035763.571421,0.005
0.09,0.03,-9.86,0.0,0.0,0.0,0,0,127,0.51,-1.3161000000000003,60,1760035763.671427,0.005
0.41000000000000003,-0.07,-9.81,0.0,0.0,0.0,0,0,127,0.51,-1.3158,60,1760035763.771429,0.005
-0.07,0.06,-10.13,0.0,0.0,0.0,0,0,127,0.51,-1.3165,60,1760035763.8714318,0.005
-0.14,0.09,-10.16,0.0,0.0,0.0,0,0,127,0.51,-1.3159,60,1760035763.9714339,0.005
-0.31,0.06,-9.78,0.0,0.0,0.0,0,0,127,0.51,-1.3159,60,1760035764.071436,0.005
0.01,0.05,-10.1,0.0,0.0,0.0,0,0,127,0.51,-1.3165,60,1760035764.1714392,0.005
0.31,0.0,-10.120000000000001,0.0,0.0,0.0,0,0,127,0.52,-1.3167,60,1760035764.2714539,0.005
0.02,0.06,-9.92,0.0,0.0,0.0,0,0,127,0.52,-1.3156999999999999,60,1760035764.371456,0.005
-0.09,0.09,-10.15,0.0,0.0,0.0,0,0,127,0.52,-1.3162,60,1760035764.471463,0.005
-0.09,0.09,-10.15,0.0,0.0,0.0,0,0,127,0.52,-1.3162,60,1760035764.571466,0.005
-0.2,0.15,-9.81,0.0,0.0,0.0,0,0,127,0.53,-1.3167,59,1760035764.671469,0.005
-0.12,0.1,-9.98,0.0,0.0,0.0,0,0,127,0.53,-1.3165,59,1760035764.771472,0.005
-0.01,0.06,-9.78,0.0,0.0,0.0,0,0,127,0.53,-1.3163,59,1760035764.871474,0.005
-0.18,0.21,-10.31,0.0,0.0,0.0,0,0,127,0.53,-1.3163999999999998,59,1760035764.971476,0.005
0.06,0.0,-10.03,0.0,0.0,0.0,0,0,127,0.53,-1.3165,59,1760035765.071481,0.005
-0.14,0.16,-9.92,0.0,0.0,0.0,0,0,127,0.53,-1.3163999999999998,59,1760035765.1714828,0.005
-0.07,0.11,-9.950000000000001,0.0,0.0,0.0,0,0,127,0.54,-1.3169,59,1760035765.2714849,0.005
0.03,0.1,-9.870000000000001,0.0,0.0,0.0,0,0,127,0.54,-1.3163999999999998,59,1760035765.371488,0.005
0.07,0.0,-9.92,0.0,0.0,0.0,0,0,127,0.54,-1.3175000000000001,59,1760035765.471492,0.005
0.0,0.04,-9.96,0.0,0.0,0.0,0,0,127,0.54,-1.3171000000000002,59,1760035765.5714939,0.005
0.31,-0.11,-9.69,0.0,0.0,0.0,0,0,127,0.54,-1.317,59,1760035765.671499,0.005
-0.49,0.11,-9.93,0.0,0.0,0.0,0,0,127,0.54,-1.317,59,1760035765.771502,0.005
0.01,-0.04,-9.86,0.0,0.0,0.0,0,0,127,0.54,-1.3171000000000002,59,1760035765.8715038,0.005
0.32,-0.13,-9.96,0.0,0.0,0.0,0,0,127,0.54,-1.3173,59,1760035765.9715059,0.005
-0.19,0.07,-10.15,0.0,0.0,0.0,0,0,127,0.54,-1.3178,59,1760035766.071508,0.005
0.27,-0.02,-9.68,0.0,0.0,0.0,0,0,127,0.53,-1.3178,59,1760035766.17151,0.005
-0.06,0.11,-10.13,0.0,0.0,0.0,0,0,127,0.53,-1.3174000000000001,59,1760035766.271512,0.005
0.06,0.08,-9.71,0.0,0.0,0.0,0,0,127,0.53,-1.3172,59,1760035766.371514,0.005
-0.33,0.24,-9.86,0.0,0.0,0.0,0,0,127,0.53,-1.317,59,1760035766.471519,0.005
-0.05,0.13,-10.06,0.0,0.0,0.0,0,0,127,0.53,-1.3175000000000001,59,1760035766.5715232,0.005
-0.05,0.13,-10.06,0.0,0.0,0.0,0,0,127,0.53,-1.3175000000000001,59,1760035766.671526,0.005
-0.25,0.26,-10.38,0.0,0.0,0.0,0,0,127,0.52,-1.3173,58,1760035766.771529,0.005
-0.06,0.11,-10.18,0.0,0.0,0.0,0,0,127,0.52,-1.3173,58,1760035766.871532,0.005
0.09,0.03,-10.14,0.0,0.0,0.0,0,0,127,0.53,-1.3178,58,1760035766.971533,0.005
0.2,0.03,-10.23,0.0,0.0,0.0,0,0,127,0.53,-1.3178,58,1760035767.071539,0.005
0.07,0.08,-9.93,0.0,0.0,0.0,0,0,127,0.53,-1.3172,58,1760035767.1715431,0.005
-0.04,0.12,-9.9,0.0,0.0,0.0,0,0,127,0.53,-1.318,58,1760035767.2715461,0.005
0.06,0.07,-9.99,0.0,0.0,0.0,0,0,127,0.53,-1.3178999999999998,58,1760035767.371549,0.005
0.25,0.04,-9.78,0.0,0.0,0.0,0,0,127,0.52,-1.3175000000000001,58,1760035767.471551,0.005
0.2,-0.16,-9.6,0.0,0.0,0.0,0,0,127,0.52,-1.3175999999999999,58,1760035767.5715551,0.005
0.16,-0.08,-9.67,0.0,0.0,0.0,0,0,127,0.51,-1.3178999999999998,58,1760035767.671558,0.005
0.29,0.07,-10.040000000000001,0.0,0.0,0.0,0,0,127,0.51,-1.317,58,1760035767.77156,0.005
-0.07,0.18,-10.31,0.0,0.0,0.0,0,0,127,0.5,-1.318,58,1760035767.871563,0.005
0.33,0.06,-10.11,0.0,0.0,0.0,0,0,127,0.5,-1.3174000000000001,58,1760035767.971564,0.005
0.19,-0.04,-9.98,0.0,0.0,0.0,0,0,127,0.5,-1.3174000000000001,58,1760035768.071566,0.005
0.02,0.0,-10.200000000000001,0.0,0.0,0.0,0,0,127,0.5,-1.3175000000000001,58,1760035768.1715698,0.005
0.03,0.14,-10.120000000000001,0.0,0.0,0.0,0,0,127,0.51,-1.3182,58,1760035768.271571,0.005
0.44,-0.19,-9.84,0.0,0.0,0.0,0,0,127,0.51,-1.3178,58,1760035768.371573,0.005
0.2,-0.15,-9.74,0.0,0.0,0.0,0,0,127,0.52,-1.3169,58,1760035768.4715781,0.005
0.0,0.0,-10.02,0.0,0.0,0.0,0,0,127,0.52,-1.3161000000000003,58,1760035768.5715818,0.005
0.37,-0.15,-9.950000000000001,0.0,0.0,0.0,0,0,127,0.52,-1.3165,57,1760035768.671587,0.005
0.23,-0.41000000000000003,-10.05,0.0,0.0,0.0,0,0,127,0.97,-1.3068000000000002,55,1760035773.362143,0.01
-0.12,-0.07,-10.3,0.0,0.0,0.0,0,0,127,0.98,-1.3074000000000001,55,1760035773.4621482,0.01
0.35000000000000003,-0.37,-9.96,0.0,0.0,0.0,0,0,127,0.98,-1.3065,55,1760035773.5621529,0.01
-0.33,-0.12,-9.91,0.0,0.0,0.0,0,0,127,0.98,-1.3074000000000001,55,1760035773.662156,0.01
-0.06,-0.18,-10.01,0.0,0.0,0.0,0,0,127,0.98,-1.3071000000000002,55,1760035773.76216,0.01
0.02,-0.17,-9.56,0.0,0.0,0.0,0,0,127,0.98,-1.3063,55,1760035773.8621628,0.01
0.02,-0.17,-9.56,0.0,0.0,0.0,0,0,127,0.98,-1.3063,55,1760035773.9621649,0.01
-0.01,-0.22,-9.9,0.0,0.0,0.0,0,0,127,0.98,-1.3072,55,1760035774.062187,0.01
0.12,-0.13,-10.19,0.0,0.0,0.0,0,0,127,0.99,-1.3069,55,1760035774.1622012,0.01
0.0,-0.15,-9.89,0.0,0.0,0.0,0,0,127,0.98,-1.3074000000000001,55,1760035774.262215,0.01
0.36,-0.33,-10.05,0.0,0.0,0.0,0,0,127,0.99,-1.307,55,1760035774.362226,0.01
-0.1,0.01,-10.120000000000001,0.0,0.0,0.0,0,0,127,0.99,-1.3058,55,1760035774.462237,0.01
0.15,-0.06,-9.93,0.0,0.0,0.0,0,0,127,0.99,-1.3058,55,1760035774.562243,0.01
0.28,-0.15,-9.89,0.0,0.0,0.0,0,0,127,0.99,-1.3065,55,1760035774.662254,0.01
0.16,-0.23,-10.0,0.0,0.0,0.0,0,0,127,0.99,-1.3071000000000002,54,1760035774.762263,0.01
0.06,-0.17,-9.950000000000001,0.0,0.0,0.0,0,0,127,0.99,-1.307,54,1760035774.862268,0.01
0.13,-0.06,-9.78,0.0,0.0,0.0,0,0,127,0.99,-1.3069,54,1760035774.962278,0.01
-0.15,0.0,-9.59,0.0,0.0,0.0,0,0,127,0.99,-1.3063999999999998,54,1760035775.062287,0.01
-0.21,-0.01,-10.01,0.0,0.0,0.0,0,0,127,0.99,-1.3069,54,1760035775.162292,0.01
-0.21,-0.04,-9.97,0.0,0.0,0.0,0,0,127,0.98,-1.3066,54,1760035775.2623081,0.01
-0.15,0.02,-10.05,0.0,0.0,0.0,0,0,127,0.98,-1.3063,54,1760035775.3623219,0.01
-0.06,0.09,-10.25,0.0,0.0,0.0,0,0,127,0.97,-1.3063999999999998,54,1760035775.462327,0.01
0.03,-0.02,-9.96,0.0,0.0,0.0,0,0,127,0.97,-1.3066,54,1760035775.562334,0.01
0.24,-0.05,-9.94,0.0,0.0,0.0,0,0,127,0.97,-1.3071000000000002,54,1760035775.662338,0.01
0.07,-0.07,-9.98,0.0,0.0,0.0,0,0,127,0.96,-1.3072,54,1760035775.76234,0.01
0.42,-0.18,-9.92,0.0,0.0,0.0,0,0,127,0.9500000000000001,-1.3065,54,1760035775.862345,0.01
0.21,-0.06,-10.15,0.0,0.0,0.0,0,0,127,0.9500000000000001,-1.3071000000000002,54,1760035775.9623559,0.01
-0.08,0.07,-10.200000000000001,0.0,0.0,0.0,0,0,127,0.9500000000000001,-1.3077,54,1760035776.062371,0.01
-0.06,0.06,-10.3,0.0,0.0,0.0,0,0,127,0.9500000000000001,-1.307,54,1760035776.16238,0.01
0.41000000000000003,-0.29,-9.86,0.0,0.0,0.0,0,0,127,0.9400000000000001,-1.3072,54,1760035776.262392,0.01
0.12,-0.2,-10.06,0.0,0.0,0.0,0,0,127,0.9500000000000001,-1.308,54,1760035776.3624058,0.01
-0.29,0.14,-10.200000000000001,0.0,0.0,0.0,0,0,127,0.9400000000000001,-1.3074000000000001,54,1760035776.462421,0.01
-0.24,0.03,-9.88,0.0,0.0,0.0,0,0,127,0.9400000000000001,-1.3078999999999998,54,1760035776.56243,0.01
-0.04,-0.03,-10.22,0.0,0.0,0.0,0,0,127,0.9500000000000001,-1.3071000000000002,54,1760035776.6624398,0.01
-0.1,-0.03,-9.84,0.0,0.0,0.0,0,0,127,0.9500000000000001,-1.3074000000000001,53,1760035776.7624478,0.01
