ax,ay,az,vx,vy,vz,roll,pitch,yaw,height_sonar,height_baro,battery,time
-0.09,-0.02,-10.03,0.0,0.0,0.0,0,0,120,0.52,-1.3123,53,1760035180.0218291
0.22,-0.07,-9.93,0.0,0.0,0.0,0,0,120,0.52,-1.3115,53,1760035180.121836
0.18,-0.05,-9.84,0.0,0.0,0.0,0,0,120,0.52,-1.3119,53,1760035180.2218509
-0.14,0.14,-9.8,0.0,0.0,0.0,0,0,120,0.52,-1.3121,53,1760035180.321857
0.0,0.05,-10.040000000000001,0.0,0.0,0.0,0,0,120,0.53,-1.3119999999999998,53,1760035180.421859
0.12,0.07,-9.91,0.0,0.0,0.0,0,0,120,0.53,-1.3116,53,1760035180.5218718
-0.18,0.15,-9.84,0.0,0.0,0.0,0,0,120,0.53,-1.3124,53,1760035180.621883
0.17,0.11,-10.040000000000001,0.0,0.0,0.0,0,0,120,0.53,-1.3119,53,1760035180.721892
0.27,-0.02,-9.870000000000001,0.0,0.0,0.0,0,0,120,0.52,-1.3118,53,1760035180.821899
0.25,0.13,-10.0,0.0,0.0,0.0,0,0,120,0.52,-1.3114,53,1760035180.9219131
0.16,-0.12,-9.93,0.0,0.0,0.0,0,0,120,0.53,-1.3109,53,1760035181.021924
0.37,-0.03,-9.9,0.0,0.0,0.0,0,0,120,0.52,-1.3118,53,1760035181.121928
0.02,-0.05,-9.92,0.0,0.0,0.0,0,0,120,0.52,-1.3118,53,1760035181.2219362
0.4,-0.09,-9.81,0.0,0.0,0.0,0,0,120,0.52,-1.3115,53,1760035181.32195
-0.03,0.04,-10.11,0.0,0.0,0.0,0,0,120,0.52,-1.3118,53,1760035181.421955
-0.25,0.06,-10.01,0.0,0.0,0.0,0,0,120,0.52,-1.3125,53,1760035181.5219672
-0.15,0.05,-10.040000000000001,0.0,0.0,0.0,0,0,120,0.52,-1.3121,53,1760035181.621979
0.29,-0.04,-9.98,0.0,0.0,0.0,0,0,120,0.52,-1.3119,53,1760035181.721987
0.29,-0.04,-9.98,0.0,0.0,0.0,0,0,120,0.52,-1.3119,53,1760035181.8219972
-0.04,0.13,-10.06,0.0,0.0,0.0,0,0,120,0.52,-1.3116999999999999,53,1760035181.922014
