mission_time,target_altitude,current_altitude,error,velocity_cmd,control_action,height_sonar,height_baro,velocity_z_measured,battery
0.002048969268798828,1.5,0.48,1.02,1.0,CLIMB,0.48,-149.77,0.0,57
0.05943489074707031,1.5,0.48,1.02,1.0,CLIMB,0.48,-149.73,0.0,57
0.10983490943908691,1.5,0.48,1.02,1.0,CLIMB,0.48,-149.73,0.0,57
0.1586320400238037,1.5,0.48,1.02,1.0,CLIMB,0.48,-149.77,0.0,57
0.20827102661132812,1.5,0.48,1.02,1.0,CLIMB,0.48,-149.77,0.0,57
0.25530195236206055,1.5,0.49,1.01,1.0,CLIMB,0.49,-149.68,0.0,57
0.3011181354522705,1.5,0.49,1.01,1.0,CLIMB,0.49,-149.68,0.0,57
0.3594369888305664,1.5,0.51,0.99,1.0,CLIMB,0.51,-149.57,-0.02,57
0.40799713134765625,1.5,0.51,0.99,1.0,CLIMB,0.51,-149.57,-0.02,57
0.45723891258239746,1.5,0.56,0.94,1.0,CLIMB,0.56,-149.62,-0.04,57
0.5034430027008057,1.5,0.56,0.94,1.0,CLIMB,0.56,-149.62,-0.04,57
0.5512621402740479,1.5,0.62,0.88,1.0,CLIMB,0.62,-149.61,-0.06,57
0.6005542278289795,1.5,0.62,0.88,1.0,CLIMB,0.62,-149.61,-0.06,57
0.6608450412750244,1.5,0.7,0.8,1.0,CLIMB,0.7,-149.5,-0.08,57
0.709630012512207,1.5,0.7,0.8,1.0,CLIMB,0.7,-149.5,-0.08,57
0.7552969455718994,1.5,0.79,0.71,1.0,CLIMB,0.79,-149.36,-0.09,57
0.8035569190979004,1.5,0.79,0.71,1.0,CLIMB,0.79,-149.36,-0.09,57
0.8514258861541748,1.5,0.89,0.61,1.0,CLIMB,0.89,-149.33,-0.09,57
0.9013998508453369,1.5,0.89,0.61,1.0,CLIMB,0.89,-149.33,-0.09,57
0.9598500728607178,1.5,0.99,0.51,1.0,CLIMB,0.99,-149.27,-0.09,57
1.0076398849487305,1.5,0.99,0.51,1.0,CLIMB,0.99,-149.27,-0.09,57
1.0532770156860352,1.5,1.09,0.4099999999999999,1.0,CLIMB,1.09,-149.19,-0.1,57
1.1027569770812988,1.5,1.09,0.4099999999999999,1.0,CLIMB,1.09,-149.19,-0.1,57
1.151566982269287,1.5,1.19,0.31000000000000005,1.0,CLIMB,1.19,-149.0,-0.1,57
1.211094856262207,1.5,1.19,0.31000000000000005,1.0,CLIMB,1.19,-149.0,-0.1,57
1.256932020187378,1.5,1.3,0.19999999999999996,1.0,CLIMB,1.3,-148.93,-0.1,57
1.30491304397583,1.5,1.3,0.19999999999999996,1.0,CLIMB,1.3,-148.93,-0.1,57
1.3534181118011475,1.5,1.3,0.19999999999999996,1.0,CLIMB,1.3,-148.93,-0.1,57
1.4000380039215088,1.5,1.4,0.10000000000000009,1.0,CLIMB,1.4,-148.79,-0.1,57
1.461426019668579,1.5,1.5,0.0,0.0,HOLD,1.5,-148.72,-0.1,57
1.509437084197998,1.5,1.5,0.0,0.0,HOLD,1.5,-148.72,-0.1,57
1.5577208995819092,1.5,1.5,0.0,0.0,HOLD,1.5,-148.72,-0.1,57
1.6053431034088135,1.5,1.62,-0.1200000000000001,-0.8,DESCEND,1.62,-148.65,-0.1,57
1.6518738269805908,1.5,1.62,-0.1200000000000001,-0.8,DESCEND,1.62,-148.65,-0.1,57
1.7011380195617676,1.5,1.73,-0.22999999999999998,-0.8,DESCEND,1.73,-148.54,-0.1,57
1.7594389915466309,1.5,1.73,-0.22999999999999998,-0.8,DESCEND,1.73,-148.54,-0.1,57
1.8062880039215088,1.5,1.8,-0.30000000000000004,-0.8,DESCEND,1.8,-148.47,-0.08,56
1.8543920516967773,1.5,1.8,-0.30000000000000004,-0.8,DESCEND,1.8,-148.47,-0.08,56
1.9044580459594727,1.5,1.87,-0.3700000000000001,-0.8,DESCEND,1.87,-148.47,-0.05,56
1.9517300128936768,1.5,1.87,-0.3700000000000001,-0.8,DESCEND,1.87,-148.47,-0.05,56
2.011871099472046,1.5,1.9,-0.3999999999999999,-0.8,DESCEND,1.9,-148.46,-0.02,56
2.059343099594116,1.5,1.9,-0.3999999999999999,-0.8,DESCEND,1.9,-148.46,-0.02,56
2.104416847229004,1.5,1.9,-0.3999999999999999,-0.8,DESCEND,1.9,-148.41,0.0,56
